game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
718611,2023-04-11,109,158,AZ,MIL,D-backs,Brewers,Arizona Diamondbacks,Milwaukee Brewers,0,0,regular,regular,2023,2023,12,11,30,32,1,7,4,8,0,1,0,0,0,3,1,7,4,18,1,5,8,9,0,1,0.259,0.26,0.306,0.35,0.407,0.427,0.713,0.777,0,1,1,0,4.8,2.51,9.0,9.0,8,4,7,1,3,0,5,1,9,8,0.0,0.0,1.42,1.13,0,0,2023-04-11
718613,2023-04-11,115,138,COL,STL,Rockies,Cardinals,Colorado Rockies,St. Louis Cardinals,0,0,regular,regular,2023,2023,12,11,37,36,6,9,12,11,1,2,0,0,3,3,6,9,22,22,2,6,10,8,0,0,0.275,0.286,0.322,0.358,0.434,0.433,0.756,0.791,0,1,1,0,5.19,5.06,9.0,9.0,11,12,5,6,3,3,6,2,8,10,0.0,0.0,1.45,1.58,1,2,2023-04-11
718614,2023-04-11,108,120,LAA,WSH,Angels,Nationals,Los Angeles Angels,Washington Nationals,0,0,regular,regular,2023,2023,11,12,26,27,2,0,5,1,0,1,0,0,1,0,2,0,8,2,4,6,7,6,0,0,0.24,0.256,0.333,0.33,0.412,0.345,0.745,0.675,1,0,0,1,3.86,5.06,9.0,8.0,1,5,0,2,0,1,6,4,6,7,0.0,0.0,1.27,1.4,0,0,2023-04-11
718615,2023-04-11,140,118,TEX,KC,Rangers,Royals,Texas Rangers,Kansas City Royals,0,0,regular,regular,2023,2023,11,12,36,38,8,5,10,11,4,3,0,0,1,0,8,5,17,14,5,4,6,11,1,1,0.252,0.19,0.32,0.258,0.423,0.317,0.743,0.575,1,0,0,1,3.4,4.56,10.0,9.2,11,10,4,7,0,1,4,5,11,6,0.0,0.0,1.2,1.42,0,0,2023-04-11
718616,2023-04-11,142,145,MIN,CWS,Twins,White Sox,Minnesota Twins,Chicago White Sox,0,0,regular,regular,2023,2023,12,12,35,34,4,3,9,4,2,1,0,0,2,1,3,3,17,8,1,1,15,14,0,0,0.231,0.269,0.301,0.32,0.351,0.418,0.652,0.738,1,0,0,1,2.64,5.97,10.0,9.0,4,9,3,3,1,2,1,1,14,15,0.0,0.0,0.95,1.58,1,1,2023-04-11
718617,2023-04-11,112,136,CHC,SEA,Cubs,Mariners,Chicago Cubs,Seattle Mariners,0,0,regular,regular,2023,2023,11,12,40,38,14,9,18,11,3,3,0,0,2,2,14,9,27,20,4,4,4,8,1,0,0.29,0.235,0.353,0.3,0.417,0.384,0.77,0.684,1,0,0,1,4.2,3.98,9.0,8.0,11,18,7,14,2,2,4,4,8,4,0.0,0.0,1.29,1.43,1,0,2023-04-11
718618,2023-04-11,110,133,BAL,OAK,Orioles,Athletics,Baltimore Orioles,Oakland Athletics,0,0,regular,regular,2023,2023,12,11,34,39,12,8,12,12,3,1,0,0,3,1,12,8,24,16,6,4,9,13,1,1,0.247,0.21,0.338,0.281,0.458,0.334,0.796,0.615,1,0,0,1,5.12,7.88,9.0,8.0,12,12,8,12,1,3,4,6,13,9,0.0,0.0,1.32,1.7,0,0,2023-04-11
718619,2023-04-11,143,146,PHI,MIA,Phillies,Marlins,Philadelphia Phillies,Miami Marlins,0,0,regular,regular,2023,2023,12,13,35,40,4,8,11,14,2,3,0,2,1,2,4,8,16,27,4,3,9,10,0,2,0.288,0.245,0.338,0.308,0.469,0.401,0.807,0.709,0,1,1,0,5.65,5.31,9.0,9.0,14,11,8,4,2,1,3,4,10,9,0.0,0.0,1.59,1.44,1,0,2023-04-11
718620,2023-04-11,144,113,ATL,CIN,Braves,Reds,Atlanta Braves,Cincinnati Reds,0,0,regular,regular,2023,2023,12,12,34,35,7,6,11,8,2,2,0,0,2,1,7,6,19,13,6,5,6,10,0,3,0.27,0.245,0.354,0.33,0.429,0.421,0.783,0.751,1,0,0,1,3.92,4.84,9.0,8.0,8,11,6,7,1,2,5,6,10,6,0.0,0.0,1.38,1.52,1,0,2023-04-11
718621,2023-04-11,121,135,NYM,SD,Mets,Padres,New York Mets,San Diego Padres,0,0,regular,regular,2023,2023,13,12,29,34,2,4,5,9,0,2,0,0,0,1,2,4,5,14,6,2,8,9,1,1,0.214,0.232,0.319,0.32,0.345,0.418,0.664,0.738,0,1,1,0,4.33,4.13,9.0,9.0,9,5,4,2,1,0,2,6,9,8,0.0,0.0,1.38,1.35,0,0,2023-04-11
